"cod_noga4","cod_noga2","txt_noga4"
3831,383,"Zerlegen von Schiffs- und Fahrzeugwracks und anderen Altwaren"
3832,383,"Rückgewinnung sortierter Werkstoffe"
3900,390,"Beseitigung von Umweltverschmutzungen und sonstige Entsorgung"
4110,411,"Erschliessung von Grundstücken; Bauträger"
4120,412,"Bau von Gebäuden"
4211,421,"Bau von Strassen"
4212,421,"Bau von Bahnverkehrsstrecken"
4213,421,"Brücken- und Tunnelbau"
4221,422,"Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau"
4222,422,"Kabelnetzleitungstiefbau"
4291,429,"Wasserbau"
4299,429,"Sonstiger Tiefbau a. n. g."
4311,431,"Abbrucharbeiten"
4312,431,"Vorbereitende Baustellenarbeiten"
4313,431,"Test- und Suchbohrung"
4321,432,"Elektroinstallation"
4322,432,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
4329,432,"Sonstige Bauinstallation"
4331,433,"Anbringen von Stuckaturen, Gipserei und Verputzerei"
4332,433,"Bautischlerei und -schlosserei"
4333,433,"Fussboden-, Fliesen- und Plattenlegerei, Tapeziererei"
4334,433,"Malerei und Glaserei"
4339,433,"Sonstiger Ausbau a. n. g."
4391,439,"Dachdeckerei und Zimmerei"
4399,439,"Sonstige spezialisierte Bautätigkeiten a. n. g."
4511,451,"Handel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger"
4519,451,"Handel mit Automobilen mit einem Gesamtgewicht von mehr als 3,5 t"
4520,452,"Instandhaltung und Reparatur von Automobilen"
4531,453,"Grosshandel mit Automobilteilen und -zubehör"
4532,453,"Detailhandel mit Automobilteilen und -zubehör"
4540,454,"Handel mit Motorrädern, Kraftradteilen und -zubehör; Instandhaltung und Reparatur von Motorrädern"
4611,461,"Handelsvermittlung von landwirtschaftlichen Grundstoffen, lebenden Tieren, textilen Rohstoffen und Halbwaren"
4612,461,"Handelsvermittlung von Brennstoffen, Erzen, Metallen und technischen Chemikalien"
4613,461,"Handelsvermittlung von Holz, Baustoffen und Anstrichmitteln"
4614,461,"Handelsvermittlung von Maschinen, technischem Bedarf, Wasser- und Luftfahrzeugen"
4615,461,"Handelsvermittlung von Möbeln, Einrichtungs- und Haushaltsgegenständen, Eisen- und Metallwaren"
4616,461,"Handelsvermittlung von Textilien, Bekleidung, Schuhen und Lederwaren"
4617,461,"Handelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren"
4618,461,"Handelsvermittlung von sonstigen Waren"
4619,461,"Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt"
4621,462,"Grosshandel mit Getreide, Rohtabak, Saatgut und Futtermitteln"
4622,462,"Grosshandel mit Blumen und Pflanzen"
4623,462,"Grosshandel mit lebenden Tieren"
4624,462,"Grosshandel mit Häuten, Fellen und Leder"
4631,463,"Grosshandel mit Obst, Gemüse und Kartoffeln"
4632,463,"Grosshandel mit Fleisch und Fleischwaren"
4633,463,"Grosshandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten"
4634,463,"Grosshandel mit Getränken"
4635,463,"Grosshandel mit Tabakwaren"
4636,463,"Grosshandel mit Zucker, Süsswaren und Backwaren"
4637,463,"Grosshandel mit Kaffee, Tee, Kakao und Gewürzen"
4638,463,"Grosshandel mit sonstigen Nahrungs- und Genussmitteln"
4639,463,"Grosshandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt"
4641,464,"Grosshandel mit Textilien"
4642,464,"Grosshandel mit Bekleidung und Schuhen"
4643,464,"Grosshandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik"
4644,464,"Grosshandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln"
4645,464,"Grosshandel mit kosmetischen Erzeugnissen und Körperpflegemitteln"
4646,464,"Grosshandel mit pharmazeutischen, medizinischen und orthopädischen Erzeugnissen"
